rank,score,name,file,line,lang,mmio_consts,calls,string_literals,imm_consts
579,0,BM12SizeBits,PSDriver/bitmap/bm12.c,149,c,0,0,0,0
580,0,BM12NewAlpha,PSDriver/bitmap/bm12.c,156,c,0,0,0,0
581,0,BM12SetupBits,PSDriver/bitmap/bm12.c,164,c,0,0,0,0
582,0,BM12MRMasks,PSDriver/bitmap/bm12moverect.c,169,c,0,0,0,0
583,0,BM34SizeBits,PSDriver/bitmap/bm34.c,85,c,0,0,0,0
584,0,BM34NewAlpha,PSDriver/bitmap/bm34.c,91,c,0,0,0,1
585,0,BM34Convert2to16,PSDriver/bitmap/bm34conv.c,8,c,0,0,0,3
586,0,BM34Convert32to16,PSDriver/bitmap/bm34conv.c,66,c,0,0,0,4
587,0,BM34Convert8to16,PSDriver/bitmap/bm34conv.c,102,c,0,0,0,1
588,0,BM38SizeBits,PSDriver/bitmap/bm38.c,89,c,0,0,0,0
589,0,BM38NewAlpha,PSDriver/bitmap/bm38.c,95,c,0,0,0,1
590,0,ADDC,PSDriver/bitmap/bm38comp.c,51,c,0,0,0,0
591,0,BM38Convert8to32,PSDriver/bitmap/bm38conv.c,124,c,0,0,0,1
592,0,LBMWakeUp,PSDriver/bitmap/bmlocal.c,135,c,0,0,0,0
593,0,LBMSetupImageArgs,PSDriver/bitmap/bmlocal.c,143,c,0,0,0,0
594,0,LBMInitSinglePrim,PSDriver/bitmap/bmlocal.c,162,c,0,0,0,0
595,0,LBMSizeInfo,PSDriver/bitmap/bmlocal.c,305,c,0,0,0,0
596,0,MP12SizeBits,PSDriver/bitmap/mp12.c,176,c,0,0,0,0
597,0,MP12SetupBits,PSDriver/bitmap/mp12.c,196,c,0,0,0,0
598,0,MRMasks,PSDriver/bitmap/mp12comp.c,230,c,0,0,0,0
599,0,WCOPYBmALine,PSDriver/bitmap/mp12copyline.c,65,c,0,0,0,0
600,0,WCOPYPatLine,PSDriver/bitmap/mp12copyline.c,86,c,0,0,0,0
601,0,WCOPYConLine,PSDriver/bitmap/mp12copyline.c,113,c,0,0,0,0
602,0,RWCOPYBmULine,PSDriver/bitmap/mp12copyline.c,134,c,0,0,0,0
603,0,RWCOPYBmALine,PSDriver/bitmap/mp12copyline.c,167,c,0,0,0,0
604,0,as_init,PSDriver/common/argstream.c,96,c,0,0,0,0
605,0,until,PSDriver/devpattern/im106.c,197,c,0,0,0,0
606,0,until,PSDriver/devpattern/im110.c,257,c,0,0,0,0
607,0,until,PSDriver/devpattern/im111.c,198,c,0,0,0,0
608,0,until,PSDriver/devpattern/im112.c,217,c,0,0,0,0
609,0,until,PSDriver/devpattern/im113.c,217,c,0,0,0,0
610,0,until,PSDriver/devpattern/im114.c,217,c,0,0,0,0
611,0,until,PSDriver/devpattern/im116.c,261,c,0,0,0,0
612,0,until,PSDriver/devpattern/ims11d1xmain.c,229,c,0,0,0,0
613,0,until,PSDriver/devpattern/ims12d12notfr.c,161,c,0,0,0,0
614,0,until,PSDriver/devpattern/ims1xd11.c,218,c,0,0,0,0
615,0,until,PSDriver/devpattern/ims1xd1xmain.c,195,c,0,0,0,0
616,0,until,PSDriver/devpattern/imsxxd11.c,250,c,0,0,0,0
617,0,until,PSDriver/devpattern/imsxxd1xmain.c,258,c,0,0,0,0
618,0,until,PSDriver/devpattern/imsxxd3x.c,324,c,0,0,0,0
619,-2,within,NDkernel/kdb/access.c,149,c,0,1,0,0
620,-2,item,NDkernel/kdb/expr.c,199,c,0,1,0,0
621,-2,isdigit,NDkernel/kdb/expr.c,367,c,0,1,0,0
622,-2,inkdot,NDkernel/kdb/format.c,404,c,0,1,0,0
623,-2,eol,NDkernel/kdb/input.c,113,c,0,1,0,0
624,-2,getreg,NDkernel/kdb/print.c,782,c,0,1,0,0
625,-2,getsig,NDkernel/kdb/runpcs.c,81,c,0,1,0,0
626,-2,endpcs,NDkernel/kdb/runpcs.c,264,c,0,1,0,0
627,-2,readregs,NDkernel/kdb/runpcs.c,546,c,0,1,0,0
628,-2,setvar,NDkernel/kdb/setup.c,239,c,0,1,0,0
629,-6,isdigit,NDkernel/kdb/expr.c,330,c,0,0,0,0
630,-6,varchk,NDkernel/kdb/expr.c,385,c,0,0,0,0
631,-6,isdigit,NDkernel/kdb/expr.c,387,c,0,0,0,0
632,-6,digit,NDkernel/kdb/format.c,68,c,0,0,0,0
633,-6,digit,NDkernel/kdb/format.c,415,c,0,0,0,0
634,-6,nextchar,NDkernel/kdb/input.c,111,c,0,0,0,0
635,-6,quotchar,NDkernel/kdb/input.c,121,c,0,0,0,0
636,-6,kdb_init,NDkernel/kdb/kdb.c,16,c,0,0,0,0
637,-6,charpos,NDkernel/kdb/output.c,119,c,0,0,0,0
638,-6,iclose,NDkernel/kdb/output.c,554,c,0,0,0,0
639,-6,oclose,NDkernel/kdb/output.c,555,c,0,0,0,0
640,-6,readchar,NDkernel/kdb/print.c,387,c,0,0,0,0
641,-6,rdc,NDkernel/kdb/print.c,392,c,0,0,0,0
642,-6,nullsig,NDkernel/kdb/runpcs.c,282,c,0,0,0,0
643,-6,doexec,NDkernel/kdb/runpcs.c,357,c,0,0,0,0
644,-6,mkioptab,NDkernel/kdb/utls.c,355,c,0,0,0,0
