Address     Type            i860  asc%  nul%  m68k   x86  ent
----------  --------------  ----  ----  ----  ----  ----  ---
00011C00    NULL_PAD         256    0%  100%     0     0  0.0
00012000    NULL_PAD         246   16%   83%     2     0  1.4
00012400    NULL_PAD         255    4%   95%     1     0  0.4
00012800    NULL_PAD         247    9%   84%     0     0  1.4
00012C00    I860_CODE        235   33%   10%     2     0  5.8
00013000    NULL_PAD         253    3%   92%     0     0  0.8
00013400    NULL_PAD         256    0%  100%     0     0  0.0
00013800    NULL_PAD         239    6%   86%     0     0  1.2
00013C00    I860_CODE        217   31%   19%     0     0  4.7
00014000    I860_CODE        249   15%   51%     0     0  3.3
00014400    NULL_PAD         256    0%   99%     0     0  0.1
00014800    NULL_PAD         256    0%  100%     0     0  0.0
00014C00    NULL_PAD         256    0%  100%     0     0  0.0
00015000    NULL_PAD         256    0%  100%     0     0  0.0
00015400    NULL_PAD         256    0%  100%     0     0  0.0
00015800    NULL_PAD         256    3%   94%     0     0  0.5
00015C00    I860_CODE        249   24%   66%     0     0  2.6
00016000    I860_CODE        249   30%   61%     3     8  2.9
00016400    I860_CODE        247   16%   78%    13     1  1.9
00016800    NULL_PAD         256    0%  100%     0     0  0.0
00016C00    NULL_PAD         256    0%  100%     0     0  0.0
00017000    NULL_PAD         256    0%  100%     0     0  0.0
00017400    NULL_PAD         256    0%  100%     0     0  0.0
00017800    NULL_PAD         256    0%  100%     0     0  0.0
00017C00    NULL_PAD         256    0%  100%     0     0  0.0
00018000    I860_CODE        235   29%    8%     0   133  6.1
00018400    I860_CODE        225   25%   11%     0   123  5.9
00018800    I860_CODE        236   25%   10%     3   112  6.1
00018C00    I860_CODE        214   22%    6%     1    41  5.9
00019000    I860_CODE        230   28%    0%     2    98  6.0
00019400    I860_CODE        224   25%   10%     1   126  6.2
00019800    I860_CODE        221   27%   10%     0   111  6.1
00019C00    I860_CODE        225   27%   11%     2    99  5.9
0001A000    I860_CODE        228   30%    5%     1   119  6.3
0001A400    I860_CODE        223   35%    4%     1   103  6.3
0001A800    I860_CODE        232   33%    7%     2    71  6.0
0001AC00    I860_CODE        233   35%    8%     1    69  5.7
0001B000    I860_CODE        221   34%    7%     0    71  6.0
0001B400    I860_CODE        239   29%   15%     1    54  6.0
0001B800    I860_CODE        239   29%    9%     3    60  6.0
0001BC00    I860_CODE        256   34%   17%     4    10  5.0
0001C000    I860_CODE        256   25%   14%     7     7  5.2
0001C400    I860_CODE        256   20%   12%     3     6  5.1
0001C800    I860_CODE        256   20%   12%     4    10  5.1
0001CC00    I860_CODE        256   28%   12%     5     7  5.2
0001D000    I860_CODE        256   34%   17%     6     7  4.8
0001D400    ASCII_TEXT       220   59%   13%     9     4  5.6
0001D800    I860_CODE        225   51%   37%    10     5  4.7
0001DC00    NULL_PAD         251    5%   89%     0     0  1.0
0001E000    NULL_PAD         256    0%  100%     0     0  0.0
0001E400    NULL_PAD         256    0%  100%     0     0  0.0
0001E800    NULL_PAD         256    0%  100%     0     0  0.0
0001EC00    NULL_PAD         256    0%  100%     0     0  0.0
0001F000    NULL_PAD         256    0%  100%     0     0  0.0
0001F400    NULL_PAD         256    0%  100%     0     0  0.0
0001F800    NULL_PAD         256    0%  100%     0     0  0.0
0001FC00    I860_CODE        256   19%   56%     2     4  3.2
00020000    I860_CODE        256   31%   36%     3    11  4.4
00020400    I860_CODE        256   32%   27%     3     4  4.7
00020800    I860_CODE        256   21%   47%     3     0  3.5
00020C00    ASCII_TEXT       189   76%   17%     4     0  4.9
00021000    ASCII_TEXT       187   93%    6%     0     0  4.7
00021400    ASCII_TEXT       182   92%    7%     0     0  4.8
00021800    ASCII_TEXT       184   93%    6%     0     0  4.7
00021C00    ASCII_TEXT       199   93%    6%     2     0  4.6
00022000    ASCII_TEXT       205   95%    4%     5     0  5.3
00022400    ASCII_TEXT       225   69%   27%     3     2  4.4
00022800    NULL_PAD         256    0%  100%     0     0  0.0
00022C00    NULL_PAD         256    0%  100%     0     0  0.0
00023000    NULL_PAD         256    0%  100%     0     0  0.0
00023400    NULL_PAD         256    0%  100%     0     0  0.0
00023800    NULL_PAD         256    0%  100%     0     0  0.0
00023C00    I860_CODE        213   37%   27%     0     0  5.0
00024000    I860_CODE        202   43%   10%     0     0  5.6
00024400    I860_CODE        190   32%    6%     0    58  5.6
00024800    I860_CODE        220   13%   23%     1     0  4.9
00024C00    I860_CODE        209   27%   16%     1     2  6.0
00025000    I860_CODE        243   22%   34%     2     1  4.6
00025400    I860_CODE        242   16%   11%     0     9  3.0
00025800    I860_CODE        216   16%   16%     0     1  3.7
00025C00    I860_CODE        201   33%   17%     0     0  4.8
00026000    I860_CODE        248   19%   47%     0     0  3.4
00026400    NULL_PAD         256    0%   91%     0     0  0.7
00026800    NULL_PAD         256    0%  100%     0     0  0.0
00026C00    NULL_PAD         256    0%  100%     0     0  0.0
00027000    NULL_PAD         256    0%  100%     0     0  0.0
00027400    NULL_PAD         256    0%  100%     0     0  0.0
00027800    NULL_PAD         256    0%  100%     0     0  0.0
00027C00    I860_CODE        239   29%   70%     0     0  2.3
00028000    NULL_PAD         256    0%  100%     0     0  0.0
00028400    I860_CODE        223   37%    7%     2     0  5.7
00028800    I860_CODE        240   18%   55%     0     2  3.7
00028C00    NULL_PAD         251    2%   95%     0     0  0.4
00029000    NULL_PAD         256    0%  100%     0     0  0.0
00029400    I860_CODE        229   45%   54%     6     0  3.1
00029800    NULL_PAD         256    0%  100%     0     0  0.0
00029C00    I860_CODE        225   40%    8%     0     6  5.9
0002A000    NULL_PAD         249    6%   88%     0     0  1.0
0002A400    NULL_PAD         244   13%   83%     0     0  1.5
0002A800    NULL_PAD         256    0%  100%     0     0  0.0
0002AC00    ASCII_TEXT       212   73%   26%     5     0  4.3
0002B000    NULL_PAD         256    0%  100%     0     0  0.0
0002B400    NULL_PAD         253    2%   95%     0     0  0.4
0002B800    NULL_PAD         256    0%  100%     0     0  0.0
0002BC00    NULL_PAD         254    0%   97%     0     2  0.2
0002C000    NULL_PAD         256    0%  100%     0     0  0.0
0002C400    NULL_PAD         256    0%  100%     0     0  0.0
0002C800    NULL_PAD         256    0%  100%     0     0  0.0
0002CC00    NULL_PAD         256    0%  100%     0     0  0.0
