iteration,dynamic_added,targets_seen,trace_events,indirect_events,functions,instructions,code_bytes,coverage_pct,stop_reason_top,state_gap_top,state_mutations,state_json,map_path,trace_path,factpack_dir
1,0,1,1,1,60,2536,10144,1.4,max_steps:1,r8:1,1,/Users/jvindahl/Development/ghidra-i860/re/nextdimension/kernel/reports/iterative_closure/20260211-022118/iter_1/state_next.json,/Users/jvindahl/Development/ghidra-i860/re/nextdimension/kernel/reports/iterative_closure/20260211-022118/iter_1/sweep/dynamic_recovery_map.json,/Users/jvindahl/Development/ghidra-i860/re/nextdimension/kernel/reports/iterative_closure/20260211-022118/iter_1/sweep/runtime_trace_merged.jsonl,/Users/jvindahl/Development/ghidra-i860/re/nextdimension/kernel/reports/iterative_closure/20260211-022118/iter_1/factpack
2,0,2,2,2,60,2536,10144,1.4,max_steps:1,r18:1,0,/Users/jvindahl/Development/ghidra-i860/re/nextdimension/kernel/reports/iterative_closure/20260211-022118/iter_2/state_next.json,/Users/jvindahl/Development/ghidra-i860/re/nextdimension/kernel/reports/iterative_closure/20260211-022118/iter_2/sweep/dynamic_recovery_map.json,/Users/jvindahl/Development/ghidra-i860/re/nextdimension/kernel/reports/iterative_closure/20260211-022118/iter_2/sweep/runtime_trace_merged.jsonl,/Users/jvindahl/Development/ghidra-i860/re/nextdimension/kernel/reports/iterative_closure/20260211-022118/iter_2/factpack
